_id,company_name,Company Status,year,Current assets,Cost of goods sold,Depreciation and amortization,EBDITDA,Inventory,Net Income,Total Receivable,Market Value,Net Sales,Total Assets,Total Long-term Debt,EBIT,Gross Profit,Total Current Liabilitie,Retained Earnings,Total Revenue,Total Liabilities,Total Operating Expenses
68a9cd4737bac44f68cbcabc,C_7452,alive,2008,14.603,37.835,9.217,25.742,0.0,11.078,7.393,45.5706,71.435,176.413,108.717,16.525,33.6,25.132,14.113,71.435,142.973,45.693
68a9cd4637bac44f68cb4e5a,C_3737,alive,2013,647.501,857.409,868.977,1206.178,0.0,170.935,323.001,5573.0242,2265.4,4705.165,1600.0,337.201,1407.991,639.131,1349.253,2265.4,3098.344,1059.222
68a9cd4637bac44f68cb1dd6,C_2152,alive,2010,1243.8,2241.787,81.3,219.359,519.909,26.443,508.937,865.6527,2887.516,2183.664,746.938,138.059,645.729,701.763,-723.112,2887.516,1777.775,2668.157
68a9cd4637bac44f68cadf1b,C_723,alive,2009,3051.125,6409.261,282.728,1864.644,1249.127,864.892,1045.338,14890.224,10494.983,10075.711,4559.152,1581.916,4085.722,2175.359,5876.452,10494.983,8127.215,8630.339
68a9cd4737bac44f68cbd5c2,C_7818,alive,2008,19.499,27.18,0.873,3.181,2.122,-0.522,12.358,5.2473,35.339,51.833,1.498,2.308,8.159,9.446,-9.593,35.339,13.975,32.158
68a9cd4637bac44f68cb3a6e,C_3169,alive,2014,266.5,219.909,5.404,68.953,0.0,40.701,86.368,1061.8575,304.704,365.299,0.0,63.549,84.795,79.345,246.057,304.704,121.011,235.751
68a9cd4637bac44f68cad635,C_521,alive,2006,12.597,1.983,0.076,0.858,1.0,1.724,0.597,17.3992,5.756,13.87,0.0,0.782,3.773,2.717,9.365,5.756,2.717,4.898
68a9cd4637bac44f68cb0f72,C_1771,alive,2010,2854.0,2876.0,3288.0,5635.0,3.0,1499.0,1493.0,21441.056,8870.0,34020.0,7129.0,2347.0,5994.0,2776.0,15008.0,8870.0,16693.0,3235.0
68a9cd4637bac44f68cb7537,C_4955,alive,2001,14.51,94.779,10.085,21.708,2.634,6.672,4.366,126.246,131.812,44.667,0.0,11.623,37.033,10.299,7.378,131.812,12.299,110.104
68a9cd4637bac44f68cb933a,C_5823,alive,2004,21.973,62.992,8.78,9.014,2.119,-0.663,14.866,25.4874,89.125,64.691,17.631,0.234,26.133,12.284,-9.699,89.125,33.362,80.111
68a9cd4637bac44f68cb6ec6,C_4783,alive,2004,16.687,27.889,0.471,3.451,4.569,1.83,7.145,27.8997,43.791,18.825,0.0,2.98,15.902,6.48,0.974,43.791,6.504,40.34
68a9cd4637bac44f68cbbaa6,C_6986,alive,2017,7.589,0.391,0.31,-17.855,1.248,-45.117,0.317,10.4931,2.715,8.887,0.0,-18.165,2.324,7.814,-324.79,2.715,8.209,20.57
68a9cd4637bac44f68cb0003,C_1433,alive,2008,1140.7,1494.6,72.0,475.5,359.2,236.7,522.1,2262.066,2934.7,2710.3,529.8,403.5,1440.1,547.5,1357.2,2934.7,1501.5,2459.2
68a9cd4637bac44f68caddd3,C_695,alive,2005,39.403,112.373,4.104,14.473,0.254,1.794,31.068,47.5494,141.162,131.092,34.129,10.369,28.789,16.964,-11.645,141.162,55.901,126.689
68a9cd4637bac44f68cba04b,C_6214,alive,2007,1.011,1.405,0.062,-1.606,0.0,-1.432,0.143,11.2286,2.37,2.517,0.0,-1.668,0.965,0.363,-11.082,2.37,0.363,3.976
68a9cd4637bac44f68cbb538,C_6826,alive,2015,2719.545,298.598,36.782,49.004,0.0,25.678,236.515,3450.1454,880.669,4361.839,21.0,12.222,582.071,1383.447,753.542,880.669,1485.171,831.665
68a9cd4737bac44f68cbe5c5,C_8446,alive,2007,0.411,1.051,0.002,-1.94,0.0,-1.997,0.391,19.8279,1.676,0.419,0.197,-1.942,0.625,0.218,-2.535,1.676,0.415,3.616
68a9cd4637bac44f68cafe36,C_1387,alive,2004,2.219,1.796,0.068,0.376,0.666,0.249,0.389,2.6352,3.533,2.471,0.0,0.308,1.737,0.236,1.217,3.533,0.272,3.157
68a9cd4637bac44f68cb3c9e,C_3251,alive,1999,16.686,14.376,0.865,5.256,0.0,2.123,5.394,11.7948,19.632,63.278,33.995,4.391,5.256,12.45,-25.304,19.632,46.445,14.376
68a9cd4637bac44f68cb0295,C_1487,alive,2003,11.473,3.144,0.15,0.997,7.053,0.776,1.878,15.4753,5.911,15.477,0.0,0.847,2.767,0.831,11.445,5.911,0.953,4.914
68a9cd4637bac44f68cacf49,C_378,alive,2000,194.384,305.16,15.089,-8.185,0.0,-57.827,119.346,77.532,445.479,269.396,0.0,-23.274,140.319,59.912,79.761,445.479,61.472,453.664
68a9cd4637bac44f68cb8d38,C_5654,alive,2010,50.516,24.956,0.799,18.593,2.646,17.869,20.015,83.4176,55.184,73.145,0.0,17.794,30.228,3.386,62.094,55.184,3.386,36.591
68a9cd4637bac44f68cabd8f,C_4,alive,2007,581.502,267.81,46.338,40.816,125.963,-13.581,130.246,882.4491,722.425,1288.165,300.0,-5.522,454.615,198.375,-95.949,722.425,557.038,681.609
68a9cd4637bac44f68cba5ff,C_6379,alive,2002,44.934,15.464,3.027,9.623,0.0,4.431,16.499,89.6009,57.75,58.798,0.0,6.596,42.286,41.289,-5.419,57.75,41.289,48.127
68a9cd4637bac44f68cb66cc,C_4521,failed,2005,437.008,310.524,17.819,184.476,0.0,109.712,13.989,2700.795,688.003,592.491,0.0,166.657,377.479,251.139,383.663,688.003,283.897,503.527
68a9cd4637bac44f68cb0375,C_1510,alive,1999,531.8,1327.2,232.2,655.8,153.5,186.1,261.9,2351.8688,1983.0,4690.1,1207.8,423.6,655.8,1321.6,1086.3,1983.0,3272.3,1327.2
68a9cd4637bac44f68cbb464,C_6809,alive,2012,4.901,1.202,0.069,-5.691,0.262,-10.19,0.328,65.144,3.951,8.711,0.0,-5.76,2.749,3.651,-118.542,3.951,6.368,9.642
68a9cd4637bac44f68cb94f7,C_5878,alive,2003,3.739,11.96,0.454,0.642,1.35,0.005,2.169,33.9908,14.97,7.045,0.927,0.188,3.01,2.946,-8.66,14.97,3.873,14.328
68a9cd4637bac44f68cbb8b5,C_6929,alive,2004,68.259,52.03,9.31,-27.538,7.02,-35.425,4.243,117.1885,24.492,94.413,0.0,-36.848,-27.538,18.143,-382.522,24.492,18.143,52.03
68a9cd4637bac44f68cb8e35,C_5680,alive,2013,33.61,37.87,1.938,-13.956,0.315,-10.741,0.207,169.4437,23.914,51.461,5.662,-15.894,-13.956,27.948,-175.954,23.914,38.254,37.87
68a9cd4637bac44f68cb5f94,C_4304,alive,2018,1362.162,3406.608,37.495,139.63,595.948,33.153,678.94,1031.3979,3846.26,1945.295,249.545,102.135,439.652,710.311,798.156,3846.26,1078.919,3706.63
68a9cd4637bac44f68cb6e38,C_4767,alive,2017,519.643,247.405,14.4,-42.18,186.307,-133.829,162.034,979.253,392.509,618.757,0.0,-56.58,145.104,165.343,-233.111,392.509,218.46,434.689
68a9cd4637bac44f68cb7860,C_5040,alive,1999,0.839,1.119,0.044,-1.559,0.0,-1.397,0.513,27.8129,1.714,0.909,0.0,-1.603,0.595,1.445,-53.444,1.714,1.445,3.273
68a9cd4737bac44f68cbd778,C_7901,alive,2016,0.533,1.276,0.115,-1.818,0.419,-7.695,0.0,32.1287,1.231,0.535,0.0,-1.933,-0.045,7.242,-124.411,1.231,7.242,3.049
68a9cd4737bac44f68cbdacd,C_8022,alive,2016,948.0,1708.0,168.0,162.0,390.0,-163.0,280.0,384.464,2233.0,2606.0,1167.0,-6.0,525.0,477.0,-382.0,2233.0,2124.0,2071.0
68a9cd4737bac44f68cbec0a,C_8757,alive,2012,1.084,1.244,0.033,1.747,0.0,1.07,0.038,20.6738,5.354,1.271,0.0,1.714,4.11,0.532,-0.387,5.354,0.532,3.607
68a9cd4637bac44f68cb3f38,C_3332,alive,2002,360.189,105.946,7.859,-66.467,0.0,-157.541,6.809,303.8735,39.479,549.051,175.0,-74.326,-66.467,20.709,-278.223,39.479,196.908,105.946
68a9cd4637bac44f68cacdf8,C_346,alive,2012,221.083,143.781,9.403,-2.411,62.332,-12.243,36.986,267.0109,221.162,334.873,0.0,-11.814,77.381,36.38,172.72,221.162,53.974,223.573
68a9cd4637bac44f68cba07b,C_6222,alive,2005,57.298,40.439,2.409,-10.418,22.353,-8.749,12.701,60.0145,66.286,59.378,0.0,-12.827,25.847,32.652,-318.149,66.286,34.39,76.704
68a9cd4637bac44f68cbb02d,C_6675,alive,2000,83.744,37.135,220.528,-80.973,0.0,-321.471,16.039,128.7068,48.155,966.397,4.591,-301.501,11.02,49.421,-359.648,48.155,54.87,129.128
68a9cd4637bac44f68cac443,C_143,alive,2002,57.008,101.25,8.113,14.915,24.882,1.361,22.732,38.0635,154.354,115.584,19.547,6.802,53.104,33.158,35.95,154.354,64.068,139.439
68a9cd4637bac44f68cb6fb3,C_4812,alive,2001,926.971,1823.277,35.642,183.392,291.231,87.373,363.7,1580.5515,2558.243,1385.428,242.169,147.75,734.966,437.062,288.48,2558.243,698.185,2374.851
68a9cd4637bac44f68cb15ca,C_1936,alive,2004,1.95,0.0,0.012,-5.638,0.0,-5.753,0.0,20.4455,0.025,2.1,0.0,-5.65,0.025,2.408,-26.501,0.025,2.408,5.663
68a9cd4737bac44f68cbe0cf,C_8238,alive,2012,794.535,1557.062,79.717,127.629,98.978,3.982,267.64,281.5894,1807.505,2655.462,800.472,47.912,250.443,644.78,-211.987,1807.505,2354.543,1679.876
68a9cd4637bac44f68cb5705,C_4060,alive,1999,97.056,217.617,7.677,24.978,59.192,8.619,28.511,40.633,300.265,179.512,10.741,17.301,82.648,89.49,56.208,300.265,107.2,275.287
68a9cd4637bac44f68caf5a0,C_1192,alive,2017,2420.0,5337.0,440.0,981.0,1036.0,180.0,663.0,3615.4614,6880.0,9756.0,5121.0,541.0,1543.0,2280.0,-1742.0,6880.0,8829.0,5899.0
68a9cd4637bac44f68cb9735,C_5945,alive,2010,4183.507,3174.457,137.326,1290.967,597.955,1081.8,819.629,23460.3415,6818.319,7944.31,696.978,1153.641,3643.862,1271.196,-6168.322,6818.319,2118.221,5527.352
68a9cd4637bac44f68cb46e0,C_3545,alive,2012,325.503,141.358,19.001,80.277,36.333,41.281,49.127,880.9259,316.869,428.512,0.0,61.276,175.511,29.118,340.729,316.869,37.655,236.592
68a9cd4637bac44f68cb0ef9,C_1755,alive,2005,111.078,82.217,5.803,21.711,33.727,9.81,28.125,176.1648,142.167,189.34,0.0,15.908,59.95,47.824,1.505,142.167,47.92,120.456
68a9cd4637bac44f68cbacf6,C_6586,alive,2018,474.008,608.382,24.176,140.347,7.753,99.588,78.925,5829.9533,930.16,700.299,25.696,116.171,321.778,357.539,-64.277,930.16,384.062,789.813
68a9cd4637bac44f68cac566,C_169,alive,2000,9.857,29.113,0.043,2.955,5.055,1.886,4.262,6.6563,39.471,10.011,0.0,2.912,10.358,3.049,6.157,39.471,3.049,36.516
68a9cd4637bac44f68cbba6b,C_6981,alive,2006,1001.9,545.4,33.5,1132.4,0.0,753.9,475.4,19240.4613,2037.1,1497.7,300.0,1098.9,1491.7,700.0,2083.0,2037.1,1330.3,904.7
68a9cd4637bac44f68cb6104,C_4345,alive,1999,55.732,96.057,3.973,10.66,46.387,1.366,2.601,23.905,193.529,84.751,8.148,6.687,97.472,29.24,-10.864,193.529,40.965,182.869
68a9cd4637bac44f68caee83,C_1045,alive,2002,282.944,351.587,21.525,71.915,76.748,35.077,94.104,393.6758,564.426,579.765,64.35,50.39,212.839,99.7,414.192,564.426,290.703,492.511
68a9cd4637bac44f68cb80a4,C_5282,failed,1999,857.0,1112.0,105.0,273.0,361.0,-288.0,268.0,1349.399,1589.0,3250.0,1023.0,168.0,477.0,495.0,-93.0,1589.0,2219.0,1316.0
68a9cd4637bac44f68cb1caf,C_2122,alive,2000,0.601,1.204,0.143,-1.631,0.173,-1.781,0.083,9.7543,0.978,1.291,0.007,-1.774,-0.226,0.289,-22.799,0.978,0.296,2.609
68a9cd4637bac44f68caeb91,C_991,alive,2002,2.643,0.0,0.12,-0.013,0.0,-1.278,0.0,0.0974,0.737,2.643,0.276,-0.133,0.737,11.019,-289.763,0.737,12.25,0.75
68a9cd4737bac44f68cbc8af,C_7382,alive,2015,13.262,6.589,4.4,-3.6,0.742,-5.669,6.351,72.8531,20.793,54.03,30.189,-8.0,14.204,5.865,-283.224,20.793,39.662,24.393
68a9cd4637bac44f68cabde3,C_11,alive,2001,8419.189,6282.564,1168.018,4705.95,2212.035,1550.39,3353.641,86665.0475,16285.246,23296.423,4335.493,3537.932,10002.682,7926.817,6686.685,16285.246,14236.991,11579.296
68a9cd4637bac44f68cb0a42,C_1655,alive,2007,36.705,2.523,0.216,0.723,0.0,0.449,0.06,31.482,3.246,38.304,0.0,0.507,0.723,12.924,21.755,3.246,12.924,2.523
68a9cd4637bac44f68cbbefb,C_7104,alive,2013,505.315,47.36,21.86,-21.115,72.443,-273.945,45.817,1473.8957,242.33,1007.451,271.227,-42.975,194.97,119.425,-197.529,242.33,547.737,263.445
68a9cd4637bac44f68cac2e5,C_113,alive,2017,12417.759,23455.169,153.599,1194.343,3302.518,401.962,8171.092,7051.2333,26812.508,16462.809,2933.045,1040.744,3357.339,7956.569,5474.187,26812.508,11462.585,25618.165
68a9cd4637bac44f68cb9a10,C_6036,alive,2000,6.95,42.442,3.244,-8.081,0.0,-59.663,6.249,4.3294,61.612,21.154,0.0,-11.325,19.17,12.082,-89.203,61.612,12.101,69.693
68a9cd4637bac44f68cb8e51,C_5684,alive,2000,33.006,20.143,1.282,-7.966,18.743,-9.484,10.006,3.0026,51.932,41.435,4.807,-9.248,31.789,28.187,-5.932,51.932,32.994,59.898
68a9cd4637bac44f68cb4a20,C_3628,failed,2003,3030.0,4887.0,454.0,614.0,279.0,-667.0,1035.0,1607.4054,5817.0,12961.0,5904.0,160.0,930.0,2576.0,-1880.0,5817.0,10493.0,5203.0
68a9cd4637bac44f68cb12c6,C_1853,alive,2007,58.088,17.056,6.155,1.711,0.0,-12.326,12.135,447.3376,84.252,84.815,50.85,-4.444,67.196,23.6,-739.868,84.252,84.497,82.541
68a9cd4637bac44f68cb95aa,C_5898,alive,2018,3326.104,9488.94,246.513,843.468,107.732,293.346,2931.928,4261.859,11171.423,7075.787,1040.532,596.955,1682.483,1806.127,2191.243,11171.423,3470.334,10327.955
68a9cd4637bac44f68cb571c,C_4063,alive,2014,2970.8,6218.3,330.4,1387.9,505.7,655.8,1443.5,12442.3285,8305.1,7228.0,716.3,1057.5,2086.8,2168.2,3333.5,8305.1,3537.1,6917.2
68a9cd4637bac44f68cb2bdf,C_2568,alive,2017,4.506,9.927,3.701,1.764,0.0,-0.488,3.883,3.5791,14.637,35.502,6.352,-1.937,4.71,2.8,-34.583,14.637,9.564,12.873
68a9cd4737bac44f68cbd00c,C_7621,alive,2005,50.6,8.721,0.989,-5.507,4.479,-8.261,8.267,198.66,32.781,62.114,0.0,-6.496,24.06,9.543,-49.859,32.781,10.798,38.288
68a9cd4737bac44f68cbdc3a,C_8070,failed,2007,27.456,162.04,9.875,3.341,0.0,-12.391,20.585,27.871,191.684,55.277,7.973,-6.534,29.644,31.193,-15.704,191.684,39.631,188.343
68a9cd4637bac44f68cb46a7,C_3538,alive,2010,12.103,12.276,0.397,-2.54,0.684,-2.933,2.071,77.4898,13.089,14.826,0.0,-2.937,0.813,2.515,-66.519,13.089,2.515,15.629
68a9cd4637bac44f68cb5659,C_4043,alive,2001,1943.862,1062.394,1147.176,-199.454,0.0,-4494.098,571.244,557.32,1561.894,9039.251,1687.735,-1346.63,499.5,10223.125,-6702.315,1561.894,12323.465,1761.348
68a9cd4637bac44f68cbba24,C_6972,alive,2006,28.832,40.405,1.897,-5.792,12.199,-8.04,6.611,26.6305,47.701,45.041,0.0,-7.689,7.296,10.038,-84.448,47.701,10.038,53.493
68a9cd4637bac44f68cb4e02,C_3725,alive,2003,2.632,71.087,3.56,1.676,0.473,-6.006,0.0,10.5237,78.492,30.854,4.009,-1.884,7.405,8.366,-32.179,78.492,15.144,76.816
68a9cd4637bac44f68caf82f,C_1243,alive,2010,6398.0,11775.0,2075.0,6869.0,806.0,2563.0,3128.0,27559.2258,18644.0,52240.0,12004.0,4794.0,6869.0,4240.0,6881.0,18644.0,38590.0,11775.0
68a9cd4637bac44f68cb6212,C_4372,alive,2005,272.366,161.303,5.921,-148.478,0.0,-169.723,4.281,544.7347,12.825,331.052,384.599,-154.399,-148.478,38.459,-758.492,12.825,428.576,161.303
68a9cd4637bac44f68cae089,C_750,alive,2010,2582.0,6672.0,864.0,2113.0,375.0,442.0,1175.0,6681.0,8785.0,20111.0,9001.0,1249.0,2113.0,2620.0,-906.0,8785.0,16913.0,6672.0
68a9cd4637bac44f68cb36ec,C_3050,alive,2008,0.005,0.013,0.0,-0.089,0.0,-0.292,0.001,0.1865,0.009,0.006,0.0,-0.089,-0.004,1.945,-9.402,0.009,1.945,0.098
68a9cd4637bac44f68cb3029,C_2780,alive,2005,1.861,1.228,0.281,-11.224,0.49,-11.234,0.994,40.6098,1.711,2.232,0.1,-11.505,0.483,3.535,-127.009,1.711,3.85,12.935
68a9cd4637bac44f68cba01a,C_6208,alive,2015,62.2,87.6,9.7,84.0,0.9,44.1,9.2,1313.325,259.0,266.7,112.3,74.3,171.4,56.3,59.4,259.0,207.1,175.0
68a9cd4637bac44f68cba1a1,C_6257,alive,2014,378.304,311.755,36.675,91.051,29.246,-35.547,34.283,566.2157,580.72,872.714,271.012,54.376,268.965,75.058,-988.637,580.72,393.689,489.669
68a9cd4637bac44f68cb72c5,C_4891,alive,2004,194.439,220.532,55.112,9.001,50.033,-47.354,59.863,500.1981,378.864,599.281,0.0,-46.111,158.332,85.119,-202.286,378.864,98.654,369.863
68a9cd4637bac44f68cb851c,C_5408,alive,2005,55.77,8.805,10.18,-0.498,0.046,-13.414,13.682,169.9295,59.498,160.793,57.737,-10.678,50.693,17.702,-144.87,59.498,78.582,59.996
68a9cd4637bac44f68cad861,C_561,alive,2007,94.73,108.012,3.347,42.239,41.628,24.587,40.936,732.3626,165.175,240.899,62.051,38.892,57.163,58.818,59.411,165.175,142.62,122.936
68a9cd4637bac44f68cb2734,C_2400,alive,2003,183.44,34.431,21.188,56.292,0.0,27.303,43.963,354.9663,106.095,374.348,96.833,35.104,71.664,46.23,27.537,106.095,144.522,49.803
68a9cd4637bac44f68cb605a,C_4322,alive,2006,68.965,10.859,1.074,-21.509,3.327,-21.624,5.659,210.4813,17.245,78.214,11.488,-22.583,6.386,11.401,-168.662,17.245,25.074,38.754
68a9cd4737bac44f68cbe3d1,C_8360,alive,2017,12.002,19.598,0.179,-2.906,0.0,-2.294,5.465,23.6442,25.747,12.562,0.328,-3.085,6.149,7.889,-17.946,25.747,8.217,28.653
68a9cd4637bac44f68cb135d,C_1870,alive,2000,8.174,11.605,0.232,0.677,2.352,0.664,3.568,8.025,18.737,16.19,0.236,0.445,7.132,1.253,2.998,18.737,1.906,18.06
68a9cd4637bac44f68cb5fd4,C_4310,alive,2007,398.7,1736.8,82.4,243.8,227.1,31.9,96.0,1438.4256,2233.4,1853.1,763.6,161.4,496.6,223.5,618.4,2233.4,1369.7,1989.6
68a9cd4637bac44f68cad742,C_541,alive,2017,7.572,1.371,0.0,7.008,0.0,5.445,0.0,11.9381,8.379,9.512,0.0,7.008,7.008,0.368,-74.947,8.379,0.368,1.371
68a9cd4737bac44f68cbde0e,C_8132,alive,2015,115.517,78.21,4.687,38.337,4.493,50.84,92.569,207.7663,229.216,242.027,38.123,33.65,151.006,51.822,-85.491,229.216,95.95,190.879
68a9cd4637bac44f68cb25c9,C_2363,alive,2013,368.791,483.414,12.6,119.661,68.607,70.57,120.291,978.6055,690.848,512.296,0.0,107.061,207.434,102.092,403.264,690.848,131.658,571.187
68a9cd4637bac44f68cb34af,C_2974,alive,2013,227.165,122.75,14.764,70.149,34.511,44.774,85.324,84.7387,216.898,348.728,0.0,55.385,94.148,51.875,190.86,216.898,51.875,146.749
68a9cd4737bac44f68cbcd24,C_7529,alive,2004,87.684,4.726,0.169,6.515,0.667,8.869,6.628,288.2321,33.596,88.128,0.0,6.346,28.87,6.417,-44.768,33.596,6.417,27.081
68a9cd4637bac44f68cbb7fb,C_6905,alive,2010,98.484,22.88,0.232,-6.071,0.0,-12.023,7.114,289.6425,16.809,99.195,0.0,-6.303,-6.071,14.071,-129.067,16.809,66.262,22.88
68a9cd4637bac44f68cb5fed,C_4314,alive,2006,1057.624,166.181,91.1,582.093,78.781,211.626,129.247,3394.995,1068.794,2192.442,400.645,490.993,902.613,410.287,-189.625,1068.794,890.185,486.701
68a9cd4637bac44f68cb3b41,C_3202,alive,2017,3.502,1.464,0.669,-14.596,0.533,-15.419,0.81,10.579,3.211,6.62,0.13,-15.265,1.747,4.79,-148.736,3.211,5.219,17.807
68a9cd4637bac44f68cac3e2,C_134,alive,2014,8954.199,24136.735,137.188,1021.751,2613.363,545.604,5220.528,6125.8132,27499.654,11255.517,1213.814,884.563,3362.919,4978.826,3396.919,27499.654,6365.324,26477.903
68a9cd4637bac44f68cb8c0b,C_5612,alive,2008,367.786,634.285,85.785,158.32,92.247,14.112,51.908,551.2551,911.9,1066.714,316.809,72.535,277.615,384.103,-8.876,911.9,715.626,753.58
68a9cd4637bac44f68cae5cb,C_869,alive,2001,442.651,662.341,11.441,24.776,197.4,11.714,187.14,347.5524,875.869,521.946,23.226,13.335,213.528,141.26,252.484,875.869,188.365,851.093
68a9cd4637bac44f68cb78a9,C_5047,alive,2000,62.763,70.381,4.649,17.497,33.324,3.917,21.271,538.6416,121.42,148.768,7.057,12.848,51.039,17.918,-2.325,121.42,25.971,103.923
68a9cd4637bac44f68cb5a46,C_4153,alive,2001,60.83,342.806,40.101,154.956,5.206,33.154,3.608,647.768,626.822,892.592,624.255,114.855,284.016,88.037,15.776,626.822,735.256,471.866
68a9cd4637bac44f68cbac1f,C_6560,alive,2002,63.811,63.042,6.757,-50.328,7.273,-80.596,7.11,330.4612,96.01,82.32,8.185,-57.085,32.968,62.676,-545.232,96.01,107.017,146.338
68a9cd4737bac44f68cbe391,C_8351,alive,2015,9.282,1.644,0.499,-2.486,1.395,-12.176,1.416,64.834,4.192,11.824,0.0,-2.985,2.548,1.401,-31.174,4.192,1.401,6.678
